Name,Address,Type,Length
Meter_Model,30,UTF8,10
Manufacturer,70,UTF8,10
Peak_Demand_Date_time,3804,DATETIME,4
Accum_Energy_Reset_Time,3200,DATETIME,4
AE_Delivered,2700,FLOAT32,2
AE_Received,2702,FLOAT32,2
AE_Del_Plus_Rec,2704,FLOAT32,2
AE_Del_Minus_Rec,2706,FLOAT32,2
RE_Delivered,2708,FLOAT32,2
RE_Received,2710,FLOAT32,2
RE_Del_Plus_Rec,2712,FLOAT32,2
RE_Del_Minus_Rec,2714,FLOAT32,2
APE_Delivered,2716,FLOAT32,2
APE_Received,2718,FLOAT32,2
APE_Del_Plus_Rec,2720,FLOAT32,2
APE_Del_Minus_Rec,2722,FLOAT32,2
Current_A,3000,FLOAT32,2
Current_B,3002,FLOAT32,2
Current_C,3004,FLOAT32,2
Current_N,3006,FLOAT32,2
Current_G,3008,FLOAT32,2
Current_Avg,3010,FLOAT32,2
Current_Unbalance_A,3012,FLOAT32,2
Current_Unbalance_B,3014,FLOAT32,2
Current_Unbalance_C,3016,FLOAT32,2
Current_Unbalance_Worst,3018,FLOAT32,2
Voltage_AB,3020,FLOAT32,2
Voltage_BC,3022,FLOAT32,2
Voltage_CA,3024,FLOAT32,2
Voltage_LLAvg,3026,FLOAT32,2
Voltage_AN,3028,FLOAT32,2
Voltage_BN,3030,FLOAT32,2
Voltage_CN,3032,FLOAT32,2
Voltage_LNAvg,3036,FLOAT32,2
Voltage_Unbalance_AB,3038,FLOAT32,2
Voltage_Unbalance_BC,3040,FLOAT32,2
Voltage_Unbalance_CA,3042,FLOAT32,2
Voltage_Unbalance_LL_Worst,3044,FLOAT32,2
Voltage_Unbalance_AN,3046,FLOAT32,2
Voltage_Unbalance_BN,3048,FLOAT32,2
Voltage_Unbalance_CN,3050,FLOAT32,2
Voltage_Unbalance_LN_Worst,3052,FLOAT32,2
ActivePower_A,3054,FLOAT32,2
ActivePower_B,3056,FLOAT32,2
ActivePower_C,3058,FLOAT32,2
ActivePower_Total,3060,FLOAT32,2
ReactivePower_A,3062,FLOAT32,2
ReactivePower_B,3064,FLOAT32,2
ReactivePower_C,3066,FLOAT32,2
ReactivePower_Total,3068,FLOAT32,2
ApparentPower_A,3070,FLOAT32,2
ApparentPower_B,3072,FLOAT32,2
ApparentPower_C,3074,FLOAT32,2
ApparentPower_Total,3076,FLOAT32,2
PF_A,3078,4Q_FP_PF,2
PF_B,3080,4Q_FP_PF,2
PF_C,3082,4Q_FP_PF,2
PF_Total,3084,4Q_FP_PF,2
DPF_A,3086,4Q_FP_PF,2
DPF_B,3088,4Q_FP_PF,2
DPF_C,3090,4Q_FP_PF,2
DPF_Total,3092,4Q_FP_PF,2
PF_Total_IEC_F32,3192,FLOAT32,2
PF_Total_IEEE_F32,3194,FLOAT32,2
PF_Total_IEC_I16,3196,INT16,1
PF_Total_IEEE_I16,3197,INT16,1
Frequency,3110,FLOAT32,2
Accum_AE_Del,3204,INT64,4
Accum_AE_Rec,3208,INT64,4
Accum_AE_Sum,3212,INT64,4
Accum_AE_Net,3216,INT64,4
Accum_RE_Del,3220,INT64,4
Accum_RE_Rec,3224,INT64,4
Accum_RE_Sum,3228,INT64,4
Accum_RE_Net,3232,INT64,4
Accum_APE_Del,3236,INT64,4
Accum_APE_Rec,3240,INT64,4
Accum_APE_Sum,3244,INT64,4
Accum_APE_Net,3248,INT64,4
Pwr_Dem_Interval_Dur,3702,INT16U,1
Cur_Dem_Interval_Dur,3712,INT16U,1
RS485_Proto,6500,INT16U,1
RS485_Addr,6501,INT16U,1
RS485_Baud,6502,INT16U,1
RS485_Parity,6503,INT16U,1
